#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	44	process	8	finished	arr	26	total	3	remain	0	wait	15	TA	18	WTA	6.00
At	time	44	process	5	started	arr	18	total	8	remain	5	wait	26
At	time	45	process	5	started	arr	18	total	8	remain	4	wait	26
At	time	46	process	5	started	arr	18	total	8	remain	3	wait	26
At	time	47	process	5	started	arr	18	total	8	remain	2	wait	26
At	time	47	process	3	started	arr	12	total	9	remain	3	wait	35
At	time	48	process	3	started	arr	12	total	9	remain	2	wait	35
At	time	49	process	3	started	arr	12	total	9	remain	1	wait	35
At	time	50	process	3	started	arr	12	total	9	remain	0	wait	35
At	time	50	process	3	finished	arr	12	total	9	remain	0	wait	35	TA	38	WTA	4.22
At	time	50	process	6	started	arr	22	total	10	remain	7	wait	28
At	time	51	process	6	started	arr	22	total	10	remain	6	wait	28
At	time	52	process	6	started	arr	22	total	10	remain	5	wait	28
At	time	53	process	6	started	arr	22	total	10	remain	4	wait	28
At	time	53	process	7	started	arr	25	total	6	remain	3	wait	28
At	time	54	process	7	started	arr	25	total	6	remain	2	wait	28
At	time	55	process	7	started	arr	25	total	6	remain	1	wait	28
At	time	56	process	7	started	arr	25	total	6	remain	0	wait	28
At	time	56	process	7	finished	arr	25	total	6	remain	0	wait	28	TA	31	WTA	5.17
At	time	56	process	5	started	arr	18	total	8	remain	2	wait	38
At	time	57	process	5	started	arr	18	total	8	remain	1	wait	38
At	time	58	process	5	started	arr	18	total	8	remain	0	wait	38
At	time	58	process	5	finished	arr	18	total	8	remain	0	wait	38	TA	40	WTA	5.00
At	time	58	process	6	started	arr	22	total	10	remain	4	wait	36
At	time	59	process	6	started	arr	22	total	10	remain	3	wait	36
At	time	60	process	6	started	arr	22	total	10	remain	2	wait	36
At	time	61	process	6	started	arr	22	total	10	remain	1	wait	36
At	time	61	process	6	started	arr	22	total	10	remain	1	wait	39
At	time	62	process	6	started	arr	22	total	10	remain	0	wait	39
At	time	62	process	6	finished	arr	22	total	10	remain	0	wait	39	TA	40	WTA	4.00
