#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	45	process	7	finished	arr	1	total	6	remain	0	wait	41	TA	44	WTA	7.33
At	time	45	process	1	started	arr	1	total	12	remain	6	wait	44
At	time	46	process	1	started	arr	1	total	12	remain	5	wait	44
At	time	47	process	1	started	arr	1	total	12	remain	4	wait	44
At	time	48	process	1	started	arr	1	total	12	remain	3	wait	44
At	time	48	process	2	started	arr	1	total	8	remain	2	wait	47
At	time	49	process	2	started	arr	1	total	8	remain	1	wait	47
At	time	50	process	2	started	arr	1	total	8	remain	0	wait	47
At	time	50	process	2	finished	arr	1	total	8	remain	0	wait	47	TA	49	WTA	6.12
At	time	50	process	3	started	arr	1	total	9	remain	3	wait	49
At	time	51	process	3	started	arr	1	total	9	remain	2	wait	49
At	time	52	process	3	started	arr	1	total	9	remain	1	wait	49
At	time	53	process	3	started	arr	1	total	9	remain	0	wait	49
At	time	53	process	3	finished	arr	1	total	9	remain	0	wait	49	TA	52	WTA	5.78
At	time	53	process	5	started	arr	1	total	8	remain	2	wait	52
At	time	54	process	5	started	arr	1	total	8	remain	1	wait	52
At	time	55	process	5	started	arr	1	total	8	remain	0	wait	52
At	time	55	process	5	finished	arr	1	total	8	remain	0	wait	52	TA	54	WTA	6.75
At	time	55	process	6	started	arr	1	total	10	remain	4	wait	54
At	time	56	process	6	started	arr	1	total	10	remain	3	wait	54
At	time	57	process	6	started	arr	1	total	10	remain	2	wait	54
At	time	58	process	6	started	arr	1	total	10	remain	1	wait	54
At	time	58	process	1	started	arr	1	total	12	remain	3	wait	57
At	time	59	process	1	started	arr	1	total	12	remain	2	wait	57
At	time	60	process	1	started	arr	1	total	12	remain	1	wait	57
At	time	61	process	1	started	arr	1	total	12	remain	0	wait	57
At	time	61	process	1	finished	arr	1	total	12	remain	0	wait	57	TA	60	WTA	5.00
At	time	61	process	6	started	arr	1	total	10	remain	1	wait	60
At	time	62	process	6	started	arr	1	total	10	remain	0	wait	60
At	time	62	process	6	finished	arr	1	total	10	remain	0	wait	60	TA	61	WTA	6.10
