#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	31	process	7	stopped	arr	23	total	5	remain	3	wait	6
At	time	31	process	5	resumed	arr	19	total	8	remain	6	wait	2
At	time	32	process	5	resumed	arr	19	total	8	remain	5	wait	2
At	time	33	process	5	resumed	arr	19	total	8	remain	4	wait	2
At	time	33	process	5	stopped	arr	19	total	8	remain	4	wait	2
At	time	33	process	8	started	arr	24	total	3	remain	3	wait	9
At	time	34	process	8	started	arr	24	total	3	remain	2	wait	9
At	time	35	process	8	started	arr	24	total	3	remain	1	wait	9
At	time	35	process	8	stopped	arr	24	total	3	remain	1	wait	9
At	time	35	process	4	resumed	arr	17	total	5	remain	1	wait	0
At	time	36	process	4	resumed	arr	17	total	5	remain	0	wait	0
At	time	36	process	4	finished	arr	17	total	5	remain	0	wait	0	TA	19	WTA	3.80
At	time	36	process	3	resumed	arr	13	total	9	remain	3	wait	2
At	time	37	process	3	resumed	arr	13	total	9	remain	2	wait	2
At	time	38	process	3	resumed	arr	13	total	9	remain	1	wait	2
At	time	38	process	3	stopped	arr	13	total	9	remain	1	wait	2
At	time	38	process	6	resumed	arr	22	total	10	remain	8	wait	5
At	time	39	process	6	resumed	arr	22	total	10	remain	7	wait	5
At	time	40	process	6	resumed	arr	22	total	10	remain	6	wait	5
At	time	40	process	6	stopped	arr	22	total	10	remain	6	wait	5
At	time	40	process	7	resumed	arr	23	total	5	remain	3	wait	6
At	time	41	process	7	resumed	arr	23	total	5	remain	2	wait	6
At	time	42	process	7	resumed	arr	23	total	5	remain	1	wait	6
At	time	42	process	7	stopped	arr	23	total	5	remain	1	wait	6
At	time	42	process	5	resumed	arr	19	total	8	remain	4	wait	2
At	time	43	process	5	resumed	arr	19	total	8	remain	3	wait	2
At	time	44	process	5	resumed	arr	19	total	8	remain	2	wait	2
At	time	44	process	5	stopped	arr	19	total	8	remain	2	wait	2
At	time	44	process	8	resumed	arr	24	total	3	remain	1	wait	9
At	time	45	process	8	resumed	arr	24	total	3	remain	0	wait	9
At	time	45	process	8	finished	arr	24	total	3	remain	0	wait	9	TA	21	WTA	7.00
At	time	45	process	3	resumed	arr	13	total	9	remain	1	wait	2
At	time	46	process	3	resumed	arr	13	total	9	remain	0	wait	2
At	time	46	process	3	finished	arr	13	total	9	remain	0	wait	2	TA	33	WTA	3.67
At	time	46	process	6	resumed	arr	22	total	10	remain	6	wait	5
At	time	47	process	6	resumed	arr	22	total	10	remain	5	wait	5
At	time	48	process	6	resumed	arr	22	total	10	remain	4	wait	5
At	time	48	process	6	stopped	arr	22	total	10	remain	4	wait	5
At	time	48	process	7	resumed	arr	23	total	5	remain	1	wait	6
At	time	49	process	7	resumed	arr	23	total	5	remain	0	wait	6
At	time	49	process	7	finished	arr	23	total	5	remain	0	wait	6	TA	26	WTA	5.20
At	time	49	process	5	resumed	arr	19	total	8	remain	2	wait	2
At	time	50	process	5	resumed	arr	19	total	8	remain	1	wait	2
At	time	51	process	5	resumed	arr	19	total	8	remain	0	wait	2
At	time	51	process	5	finished	arr	19	total	8	remain	0	wait	2	TA	32	WTA	4.00
At	time	51	process	6	resumed	arr	22	total	10	remain	4	wait	5
At	time	52	process	6	resumed	arr	22	total	10	remain	3	wait	5
At	time	53	process	6	resumed	arr	22	total	10	remain	2	wait	5
At	time	53	process	6	stopped	arr	22	total	10	remain	2	wait	5
At	time	53	process	6	resumed	arr	22	total	10	remain	2	wait	5
At	time	54	process	6	resumed	arr	22	total	10	remain	1	wait	5
At	time	55	process	6	resumed	arr	22	total	10	remain	0	wait	5
At	time	55	process	6	finished	arr	22	total	10	remain	0	wait	5	TA	33	WTA	3.30
